instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,1,variance,subsample,36.0,-72.6865381741363,-72.65501679450594,-0.07676358916015946,-72.66491776524047
0,1,variance,subsample,37.0,-72.67772442520953,-72.65427480079252,-0.010154598323403395,-72.66193818241834
0,1,variance,subsample,38.0,-72.6725357528342,-72.65386960055977,0.07324851207597982,-72.66260081244712
0,1,variance,subsample,39.0,-72.67917649452943,-72.65427480079252,0.2076995983196233,-72.6689039008717
0,1,variance,subsample,40.0,-72.6865381741363,-72.65427480079252,-0.08360335180241536,-72.66040386902418
0,1,variance,subsample,41.0,-72.6865381741363,-72.65386960055977,0.054757493785137376,-72.66560524086823
0,1,variance,subsample,42.0,-72.6865381741363,-72.65386960055977,-0.7905180777250104,-72.64859444187171
0,1,variance,subsample,43.0,-72.67917649452943,-72.65386960055977,0.17511055762976493,-72.6675772803021
0,1,variance,subsample,44.0,-72.6865381741363,-72.65386960055977,-0.23482874228951522,-72.65930405152126
0,1,variance,subsample,45.0,-72.67917649452943,-72.65386960055977,0.263710506444461,-72.6689558824833
0,1,variance,subsample,46.0,-72.6865381741363,-72.65662355874181,0.1829009813745019,-72.67196523691099
0,1,variance,subsample,47.0,-72.6865381741363,-72.65427480079252,-0.25167057371999857,-72.65849410995753
0,1,variance,subsample,48.0,-72.6865381741363,-72.65501679450594,-0.04362579578001964,-72.66672401607968
0,1,variance,subsample,49.0,-72.67917649452943,-72.65386960055977,0.15750692719779805,-72.66533455102538
0,1,variance,subsample,50.0,-72.6865381741363,-72.65662355874181,-0.01120296359445945,-72.66642062247587
0,1,variance,subsample,51.0,-72.67917649452943,-72.65427480079252,0.06225978365157828,-72.66611704946268
0,1,variance,subsample,52.0,-72.67772442520953,-72.65386960055977,-0.08200926049579968,-72.66243005222313
0,1,variance,subsample,53.0,-72.6865381741363,-72.65501679450594,0.04773246720852664,-72.66891628629556
0,1,variance,subsample,54.0,-72.6865381741363,-72.65386960055977,-0.22643287219330846,-72.66129909924356
0,1,variance,subsample,55.0,-72.67772442520953,-72.65427480079252,-0.1873962293978578,-72.65989249406962
0,1,variance,subsample,56.0,-72.6865381741363,-72.65662355874181,0.33226310835399137,-72.67527688352925
0,1,variance,subsample,57.0,-72.67772442520953,-72.65386960055977,-0.0006117923843764204,-72.66269187866523
